Petition,URL,State,Signatures Count,petition_id,opened_date,debate_threshold_reached,scheduled_debate_date,closed_date
Fund reconstruction surgery and psychosexual therapy for FGM survivors,https://petition.parliament.uk/petitions/700001,closed,939,700001,2024-10-31,,,2025-04-30
Apply for the UK to join the European Union as a full member as soon as possible,https://petition.parliament.uk/petitions/700005,closed,136650,700005,2024-10-31,2025-02-11,2025-03-24,2025-04-30
Require dating apps to ensure ID and DBS checks on users & ban violent offenders,https://petition.parliament.uk/petitions/700007,closed,1216,700007,2024-11-05,,,2025-05-05
"Fund Covid booster vaccines for all, with priority for Long Covid sufferers",https://petition.parliament.uk/petitions/700009,closed,716,700009,2024-12-05,,,2025-06-05
"Only allow alcohol to be sold in pubs and in wine stores between certain times
",https://petition.parliament.uk/petitions/700010,closed,90,700010,2024-11-06,,,2025-05-06
Donate migrant boats to Ukraine,https://petition.parliament.uk/petitions/700011,closed,436,700011,2024-11-05,,,2025-05-05
Limit the sale and use of Fireworks to licence holders only,https://petition.parliament.uk/petitions/700013,closed,87527,700013,2024-11-05,,2024-12-09,2025-05-05
Decriminalise Abortion,https://petition.parliament.uk/petitions/700014,closed,103653,700014,2024-11-04,2025-03-05,2025-06-02,2025-05-04
Provide funding to the NHS to offer full STI screening at beginning of pregnancy,https://petition.parliament.uk/petitions/700015,closed,1149,700015,2024-11-05,,,2025-05-05
Stop the Early Release of all Domestic Abusers Under the SDS40 Scheme,https://petition.parliament.uk/petitions/700016,closed,2078,700016,2024-11-21,,,2025-05-21
Support families by bringing nannies into the 15/30 hours free childcare scheme,https://petition.parliament.uk/petitions/700017,closed,2257,700017,2024-10-31,,,2025-04-30
Don't put an extra duty on vape products,https://petition.parliament.uk/petitions/700018,closed,1048,700018,2024-11-06,,,2025-05-06
Adapt EYFS and KS1 Literacy Curriculums to be inclusive for Non-Verbal children,https://petition.parliament.uk/petitions/700021,closed,2026,700021,2024-11-05,,,2025-05-05
Ban fossil fuel advertising and sponsorship,https://petition.parliament.uk/petitions/700024,closed,110519,700024,2024-11-12,2025-05-08,2025-07-07,2025-05-12
Maintain the £3 bus fare cap permanently,https://petition.parliament.uk/petitions/700027,closed,628,700027,2024-11-01,,,2025-05-01
Increase Carer's Allowance to equal minimum wage,https://petition.parliament.uk/petitions/700028,closed,11299,700028,2024-11-05,,,2025-05-05
"Embed food, farming, and sustainability education into the national curriculum",https://petition.parliament.uk/petitions/700029,closed,14480,700029,2024-11-01,,,2025-05-01
More funding to diagnose & support individuals with ADHD & provide training ,https://petition.parliament.uk/petitions/700033,closed,1189,700033,2024-11-08,,,2025-05-08
Make breaking a manifesto against the law and trigger a General Election,https://petition.parliament.uk/petitions/700035,closed,53787,700035,2024-11-07,,,2025-05-07
Ban driven grouse shooting,https://petition.parliament.uk/petitions/700036,closed,104341,700036,2024-11-22,2025-04-20,2025-06-30,2025-05-22
Rights Beyond Borders: Improve employment policies for international students,https://petition.parliament.uk/petitions/700037,closed,4181,700037,2024-11-05,,,2025-05-05
Launch strategy to involve female asylum seekers in reframing asylum policy,https://petition.parliament.uk/petitions/700038,closed,52,700038,2024-11-12,,,2025-05-12
Reduce the immigration health surcharge for family visas,https://petition.parliament.uk/petitions/700039,closed,330,700039,2024-11-07,,,2025-05-07
Hold a referendum on re-joining the European Union,https://petition.parliament.uk/petitions/700041,closed,16594,700041,2024-11-06,,,2025-05-06
Allow parents to take their children out of school for up to 10 days fine free.,https://petition.parliament.uk/petitions/700047,closed,181597,700047,2024-11-28,2025-03-11,2025-10-27,2025-05-28
Reduce the maximum decibel limit on fireworks from 120 to 90,https://petition.parliament.uk/petitions/700049,closed,4197,700049,2024-11-04,,,2025-05-04
Negotiate a youth mobility scheme with the EU,https://petition.parliament.uk/petitions/700055,closed,1552,700055,2024-11-07,,,2025-05-07
Compensate people who have been harmed by sodium valproate,https://petition.parliament.uk/petitions/700057,closed,702,700057,2024-11-19,,,2025-05-19
Launch a railcard for those over the age of 30 covering all of the UK.,https://petition.parliament.uk/petitions/700058,closed,863,700058,2024-11-01,,,2025-05-01
Ensure all the press is regulated by a Press Recognition Panel approved body,https://petition.parliament.uk/petitions/700061,closed,1824,700061,2024-11-28,,,2025-05-28
Fund Breast Cancer Screening from Age 40 & Alternative Screening Options,https://petition.parliament.uk/petitions/700062,closed,4802,700062,2024-11-11,,,2025-05-11
Introduce a Long-Term Visit Visa for Parents of British Citizens and ILR Holders,https://petition.parliament.uk/petitions/700067,closed,4611,700067,2024-11-06,,,2025-05-06
Reverse changes to Winter Fuel Payment ,https://petition.parliament.uk/petitions/700074,closed,62034,700074,2024-11-05,,,2025-05-05
Hold a Public Inquiry into the state pension age change for 1950s women,https://petition.parliament.uk/petitions/700076,closed,7724,700076,2024-11-08,,,2025-05-08
Legalise use of privately owned e-scooters and e-bikes on public roads,https://petition.parliament.uk/petitions/700078,closed,443,700078,2024-11-14,,,2025-05-14
Exempt all social care providers from the employer NIC increase,https://petition.parliament.uk/petitions/700080,closed,40577,700080,2024-11-05,,,2025-05-05
Create an NHS staff recruitment agency,https://petition.parliament.uk/petitions/700082,closed,107,700082,2024-11-13,,,2025-05-13
Toughen up the law to ensure stricter punishment for child sexual abuse material,https://petition.parliament.uk/petitions/700084,closed,477,700084,2024-12-27,,,2025-06-27
Set rules about when a service/venue can describe itself as accessible,https://petition.parliament.uk/petitions/700085,closed,444,700085,2024-11-08,,,2025-05-08
Introduce 16 as the minimum age for children to have social media,https://petition.parliament.uk/petitions/700086,closed,132102,700086,2024-11-07,2024-11-19,2025-02-24,2025-05-07
Stop deducting carer's allowance from income based welfare,https://petition.parliament.uk/petitions/700091,closed,607,700091,2024-11-08,,,2025-05-08
Referendum on changing the Electoral System To Proportional Representation (PR),https://petition.parliament.uk/petitions/700109,closed,42329,700109,2024-11-06,,,2025-05-06
Give State Pension to all at 60 and increase it to equal 48hrs at Living Wage,https://petition.parliament.uk/petitions/700113,closed,27456,700113,2024-11-26,,,2025-05-26
Legalise adult adoption,https://petition.parliament.uk/petitions/700114,closed,579,700114,2024-11-08,,,2025-05-08
"Bring all social care into the public sector, under the NHS & stop means testing",https://petition.parliament.uk/petitions/700116,closed,411,700116,2024-11-25,,,2025-05-25
Fund free TV licences for all pensioners,https://petition.parliament.uk/petitions/700117,closed,54270,700117,2024-11-26,,,2025-05-26
Recognise Palestine as a State and seek immediate ceasefire in Gaza ,https://petition.parliament.uk/petitions/700119,closed,5034,700119,2024-11-15,,,2025-05-15
Stop Means Testing Pensioners and increase the State Pension,https://petition.parliament.uk/petitions/700120,closed,14563,700120,2024-11-11,,,2025-05-11
"Abolish the basic State Pension, increase the new State Pension and pay to all.",https://petition.parliament.uk/petitions/700122,closed,5892,700122,2024-11-25,,,2025-05-25
"Require a, ""no confidence,"" vote on the ballot for all elections/referendums.",https://petition.parliament.uk/petitions/700131,closed,2105,700131,2024-11-12,,,2025-05-12
Make Black history part of the curriculum in all schools,https://petition.parliament.uk/petitions/700134,closed,215,700134,2024-11-08,,,2025-05-08
Don't change inheritance tax relief for working farms,https://petition.parliament.uk/petitions/700138,closed,154007,700138,2024-11-13,2024-11-25,2025-02-10,2025-05-13
Call a General Election,https://petition.parliament.uk/petitions/700143,closed,3084715,700143,2024-11-20,2024-11-23,2025-01-06,2025-05-20
"Set the age requirement to buy tobacco to 21, do not gradually increase it.
",https://petition.parliament.uk/petitions/700150,closed,93,700150,2024-11-18,,,2025-05-18
Create a scheme for long-term residents who overstayed their visa to gain ILR,https://petition.parliament.uk/petitions/700159,closed,30,700159,2024-11-28,,,2025-05-28
Fund at home smear test kits for females when requested.,https://petition.parliament.uk/petitions/700160,closed,154,700160,2024-11-25,,,2025-05-25
Require MPs proven to mislead public to resign and create 'fact check' committee,https://petition.parliament.uk/petitions/700161,closed,10205,700161,2024-11-07,,,2025-05-07
Impose Financial Sanctions Against The UAE,https://petition.parliament.uk/petitions/700162,closed,1143,700162,2024-11-13,,,2025-05-13
"Reduce University student tuition fee cap from £9,250 to £3,000",https://petition.parliament.uk/petitions/700167,closed,278,700167,2024-11-20,,,2025-05-20
Remove the 28 day time limit from the unduly lenient sentence scheme for murder,https://petition.parliament.uk/petitions/700168,closed,14062,700168,2024-11-06,,,2025-05-06
Investigate the claims of £22 Billion black hole,https://petition.parliament.uk/petitions/700170,closed,1888,700170,2024-11-26,,,2025-05-26
Change the legal driving age to 15,https://petition.parliament.uk/petitions/700172,closed,235,700172,2024-11-06,,,2025-05-06
Fund menopause support being added to the NHS Health Checks for women over 40,https://petition.parliament.uk/petitions/700178,closed,2639,700178,2024-11-07,,,2025-05-07
Commercial Pilot Training to be VAT exempt and introduce new funding options,https://petition.parliament.uk/petitions/700183,closed,445,700183,2024-11-11,,,2025-05-11
Commission a public inquiry into the impact of the UK exiting the European Union,https://petition.parliament.uk/petitions/700184,closed,10653,700184,2024-11-08,,,2025-05-08
Don’t require health & care workers to update visa for additional work,https://petition.parliament.uk/petitions/700185,closed,70,700185,2024-11-13,,,2025-05-13
Create a public consultation on freedom of speech and disinformation,https://petition.parliament.uk/petitions/700186,closed,23426,700186,2024-11-08,,,2025-05-08
"Run a public information campaign on the climate crisis
",https://petition.parliament.uk/petitions/700189,closed,24114,700189,2024-11-08,,,2025-05-08
"Review how to turn the MHRA into a fully transparent, patient first regulator",https://petition.parliament.uk/petitions/700190,closed,3680,700190,2024-12-06,,,2025-06-06
"Reform e-petitions - referendum at 1m, no word limits, immediate publication",https://petition.parliament.uk/petitions/700191,closed,611,700191,2024-11-14,,,2025-05-14
Reduce time & improve conditions for guinea-pigs in quarantine after entering UK,https://petition.parliament.uk/petitions/700197,closed,167,700197,2024-11-15,,,2025-05-15
Ban fireworks,https://petition.parliament.uk/petitions/700199,closed,497,700199,2024-11-21,,,2025-05-21
Review NHS approach to shared care for ADHD medication.,https://petition.parliament.uk/petitions/700214,closed,737,700214,2024-12-09,,,2025-06-09
Make Shared Ownership and Social Housing eligible for the Boiler Upgrade Scheme,https://petition.parliament.uk/petitions/700216,closed,104,700216,2024-11-11,,,2025-05-11
An independent evaluation of the Cass review on child gender services,https://petition.parliament.uk/petitions/700217,closed,17353,700217,2024-12-12,,,2025-06-12
Legalise Euthanasia for people with incurable mental and physical conditions.,https://petition.parliament.uk/petitions/700218,closed,273,700218,2024-11-18,,,2025-05-18
Review how the rights of trans athletes are respected in sports,https://petition.parliament.uk/petitions/700219,closed,2236,700219,2024-12-13,,,2025-06-13
Mandate that schools use trans students' chosen names and pronouns.,https://petition.parliament.uk/petitions/700221,closed,1539,700221,2024-12-09,,,2025-06-09
"Make it illegal to sell, buy and use fireworks other than silent ones",https://petition.parliament.uk/petitions/700223,closed,1024,700223,2024-11-19,,,2025-05-19
Do not reduce the Right to Buy discount,https://petition.parliament.uk/petitions/700226,closed,5218,700226,2024-11-08,,,2025-05-08
"Raise help to buy ISA threshold to up to £350,000 (or up to £550,000 in London)",https://petition.parliament.uk/petitions/700233,closed,135,700233,2024-11-13,,,2025-05-13
Make it illegal to smoke in a home if there are children living in it,https://petition.parliament.uk/petitions/700240,closed,65,700240,2025-01-13,,,2025-07-13
Require all MPs to be solely British Citizens,https://petition.parliament.uk/petitions/700244,closed,520,700244,2024-12-05,,,2025-06-05
Scrap GCSE exams,https://petition.parliament.uk/petitions/700247,closed,231,700247,2024-11-13,,,2025-05-13
Stop road tax on zero-emission vehicles (ZEVs) from 2025,https://petition.parliament.uk/petitions/700253,closed,1644,700253,2024-11-14,,,2025-05-14
Establish a capacity limit for trains.,https://petition.parliament.uk/petitions/700255,closed,150,700255,2024-11-18,,,2025-05-18
Calculate child maintenance based on net rather than gross pay,https://petition.parliament.uk/petitions/700259,closed,627,700259,2024-11-08,,,2025-05-08
Ban animal testing for human products and medicines,https://petition.parliament.uk/petitions/700262,closed,16302,700262,2024-11-19,,,2025-05-19
Stop all foreign aid,https://petition.parliament.uk/petitions/700263,closed,2317,700263,2024-11-29,,,2025-05-29
Require landfills that cause smells and toxins near residential areas to close,https://petition.parliament.uk/petitions/700273,closed,10322,700273,2024-11-13,,,2025-05-13
Require employers to fund private health insurance for their employees,https://petition.parliament.uk/petitions/700281,closed,65,700281,2024-11-13,,,2025-05-13
Provide day 1 financial support to parents caring for a seriously ill child,https://petition.parliament.uk/petitions/700285,closed,19396,700285,2025-01-29,,,2025-07-29
Fund more CAR T Cell Therapy for eligible patients,https://petition.parliament.uk/petitions/700292,closed,11234,700292,2024-11-28,,,2025-05-28
Introduce new air quality and PPE rules for health and social care settings,https://petition.parliament.uk/petitions/700304,closed,7911,700304,2024-11-11,,,2025-05-11
Do not change inheritance tax rules for pensions,https://petition.parliament.uk/petitions/700306,closed,865,700306,2024-12-12,,,2025-06-12
Cap all property management fees and service charges,https://petition.parliament.uk/petitions/700308,closed,1386,700308,2024-11-26,,,2025-05-26
Increase funding and support for animal rescue and rehabilitation organisations.,https://petition.parliament.uk/petitions/700310,closed,571,700310,2024-11-25,,,2025-05-25
Legally recognise Non-Binary as a gender,https://petition.parliament.uk/petitions/700312,closed,8290,700312,2024-11-29,,,2025-05-29
Extend the theory test expiry date from the current 2 years to 3 years,https://petition.parliament.uk/petitions/700314,closed,250,700314,2024-11-22,,,2025-05-22
Automatic fast track benefits for anyone diagnosed with a terminal illness.,https://petition.parliament.uk/petitions/700315,closed,2237,700315,2024-11-29,,,2025-05-29
End the Badger cull and adopt other approaches to bovine TB control,https://petition.parliament.uk/petitions/700317,closed,102458,700317,2024-11-28,2025-05-11,2025-10-13,2025-05-28
Commission a Treasury Review On The Practicalities Of Levying A Wealth Tax.,https://petition.parliament.uk/petitions/700319,closed,651,700319,2024-11-15,,,2025-05-15
Ban all forms of hunting and introduce harsher penalties,https://petition.parliament.uk/petitions/700320,closed,5583,700320,2024-11-13,,,2025-05-13
Review current legislation and regulation of gambling adverts,https://petition.parliament.uk/petitions/700323,closed,368,700323,2024-11-19,,,2025-05-19
"Pay all unpaid carers carer's allowance, to recognise and support them",https://petition.parliament.uk/petitions/700326,closed,77,700326,2024-12-23,,,2025-06-23
Seek to expel the USA from the UN using Article 6 of the UN Charter,https://petition.parliament.uk/petitions/700331,closed,711,700331,2024-11-13,,,2025-05-13
Remove Permitted Development Rights for all additional telecoms infrastructure.,https://petition.parliament.uk/petitions/700333,closed,3270,700333,2025-01-10,,,2025-07-10
Introduce new rules for resurfacing roads so loose stones can't be left,https://petition.parliament.uk/petitions/700339,closed,487,700339,2024-11-21,,,2025-05-21
Fund a veterinary service for pets so people don’t have to pay vet fees,https://petition.parliament.uk/petitions/700344,closed,270,700344,2024-11-14,,,2025-05-14
Abolish whole life orders and reintroduce the death penalty,https://petition.parliament.uk/petitions/700357,closed,9085,700357,2024-11-29,,,2025-05-29
Review the NHS emergency treatment system,https://petition.parliament.uk/petitions/700364,closed,122,700364,2024-11-14,,,2025-05-14
Shorten the hours in which fireworks can be set off.,https://petition.parliament.uk/petitions/700371,closed,130,700371,2024-12-02,,,2025-06-02
Introduce a duty of candour to all MPs,https://petition.parliament.uk/petitions/700384,closed,370,700384,2024-11-13,,,2025-05-13
Reassess the classification of Cannabis and decriminalize it.,https://petition.parliament.uk/petitions/700385,closed,5494,700385,2024-11-14,,,2025-05-14
Allow BN(O)s ETA-free entry,https://petition.parliament.uk/petitions/700387,closed,12186,700387,2024-11-22,,,2025-05-22
"Raise the standard tax-free Personal Allowance to £45,000",https://petition.parliament.uk/petitions/700391,closed,47717,700391,2024-11-26,,,2025-05-26
Create a rising tax rate to create a maximum income level,https://petition.parliament.uk/petitions/700392,closed,88,700392,2024-12-10,,,2025-06-10
Reform the Public Health Act to prevent future lockdowns without MP's scrutiny,https://petition.parliament.uk/petitions/700393,closed,346,700393,2024-11-14,,,2025-05-14
Enforce 11 p.m. fireworks curfew to protect community peace,https://petition.parliament.uk/petitions/700394,closed,139,700394,2024-11-26,,,2025-05-26
Seek to rejoin the European Union Single Market and start discussions now,https://petition.parliament.uk/petitions/700402,closed,1273,700402,2024-12-06,,,2025-06-06
Ban explicit violence and sexualisation in Computer & Video Games,https://petition.parliament.uk/petitions/700403,closed,67,700403,2025-01-15,,,2025-07-15
Require all businesses and public services to accept cash payments ,https://petition.parliament.uk/petitions/700404,closed,17106,700404,2024-11-15,,,2025-05-15
Change rules so parents with 50/50 shared care don’t pay child maintenance,https://petition.parliament.uk/petitions/700409,closed,669,700409,2024-11-19,,,2025-05-19
Stop individuals in non-fault accidents being charged more for car insurance,https://petition.parliament.uk/petitions/700412,closed,847,700412,2024-11-22,,,2025-05-22
Make GCSE exams free for home educated children under 18,https://petition.parliament.uk/petitions/700413,closed,13235,700413,2024-11-15,,,2025-05-15
Remove priority need requirements from homelessness legislation.,https://petition.parliament.uk/petitions/700423,closed,209,700423,2024-11-25,,,2025-05-25
Require police to delete data collected due to false allegations.,https://petition.parliament.uk/petitions/700425,closed,259,700425,2024-11-27,,,2025-05-27
New legislation; ensure informed consent is always given to avoid patient harm.,https://petition.parliament.uk/petitions/700427,closed,2966,700427,2024-11-11,,,2025-05-11
Change the law so those on life sentence for murder are not eligible for release,https://petition.parliament.uk/petitions/700435,closed,8400,700435,2024-11-14,,,2025-05-14
Nationalise the UK water industry,https://petition.parliament.uk/petitions/700436,closed,6369,700436,2024-11-29,,,2025-05-29
"To create buffer zones around schools, stopping intimidation of staff & children",https://petition.parliament.uk/petitions/700442,closed,31,700442,2025-01-07,,,2025-07-07
Introduce presumed liability for civil cases from road traffic collisions,https://petition.parliament.uk/petitions/700451,closed,4916,700451,2024-11-18,,,2025-05-18
Legally Require All Job Listings to Show Salaries Upfront,https://petition.parliament.uk/petitions/700482,closed,10199,700482,2025-01-09,,,2025-07-09
Introduce requirements for firework sellers to inform buyers about laws,https://petition.parliament.uk/petitions/700518,closed,92,700518,2024-11-15,,,2025-05-15
Stop breed-specific legislation and euthanising banned dogs.,https://petition.parliament.uk/petitions/700525,closed,184,700525,2024-11-18,,,2025-05-18
Lower the English language test exemption age for BNO visa holders from 65 to 60,https://petition.parliament.uk/petitions/700528,closed,1762,700528,2024-11-13,,,2025-05-13
Protections for Migrant Workers in the Care Worker Visa Sponsorship System (COS),https://petition.parliament.uk/petitions/700533,closed,240,700533,2024-11-22,,,2025-05-22
"Funding so the NHS can provide all services free, and pet care",https://petition.parliament.uk/petitions/700534,closed,80,700534,2024-11-28,,,2025-05-28
Set dates when fireworks are allowed.,https://petition.parliament.uk/petitions/700537,closed,341,700537,2024-11-18,,,2025-05-18
Ban holiday companies raising prices in school holidays.,https://petition.parliament.uk/petitions/700540,closed,1897,700540,2024-11-26,,,2025-05-26
Exempt hospices from increase in employers’ national insurance,https://petition.parliament.uk/petitions/700550,closed,630,700550,2024-11-15,,,2025-05-15
Ban non-stun slaughter in the UK,https://petition.parliament.uk/petitions/700557,closed,109019,700557,2024-11-21,2025-05-04,2025-06-09,2025-05-21
"Remove the automatic right of bishops to sit in the House of Lords
",https://petition.parliament.uk/petitions/700563,closed,1027,700563,2024-11-29,,,2025-05-29
Provide funding for at least 1 NHS ADHD specialist clinic in each county,https://petition.parliament.uk/petitions/700568,closed,76,700568,2025-02-19,,,2025-08-19
Allow for all students in full-time education to receive free prescriptions.,https://petition.parliament.uk/petitions/700570,closed,291,700570,2024-11-13,,,2025-05-13
Provide extra emergency funding into adult social care,https://petition.parliament.uk/petitions/700576,closed,91,700576,2025-02-03,,,2025-08-03
Hold a referendum to decide if the UK should leave the ECHR.,https://petition.parliament.uk/petitions/700614,closed,21730,700614,2024-12-11,,,2025-06-11
Increase maritime enforcement to intercept and return boats to France.,https://petition.parliament.uk/petitions/700617,closed,913,700617,2024-12-16,,,2025-06-16
Increase funding for border security and patrols in UK waters.,https://petition.parliament.uk/petitions/700619,closed,251,700619,2024-12-16,,,2025-06-16
Implement regular checks on the legal status of all visa holders in the UK.,https://petition.parliament.uk/petitions/700620,closed,168,700620,2024-12-02,,,2025-06-02
Update the dangerous dogs act to specifically protect horses,https://petition.parliament.uk/petitions/700623,closed,20712,700623,2024-11-22,,,2025-05-22
Introduce Commonwealth Immigration Routes,https://petition.parliament.uk/petitions/700626,closed,51,700626,2024-12-16,,,2025-06-16
Conduct a review of routes into work for new graduates.,https://petition.parliament.uk/petitions/700638,closed,335,700638,2024-11-25,,,2025-05-25
Ban all forms of conversion therapy,https://petition.parliament.uk/petitions/700652,closed,1274,700652,2024-11-20,,,2025-05-20
Stop third party sites selling DVSA practical exam bookings for profit,https://petition.parliament.uk/petitions/700656,closed,136,700656,2024-11-26,,,2025-05-26
Inform disabled people of high success rate for PIP appeals at tribunal,https://petition.parliament.uk/petitions/700658,closed,938,700658,2024-11-28,,,2025-05-28
Reclassify Ketamine as a Class A drug,https://petition.parliament.uk/petitions/700671,closed,2199,700671,2024-11-19,,,2025-05-19
Change foreign policy so the UK is neutral and not aligned with the West,https://petition.parliament.uk/petitions/700673,closed,108,700673,2024-11-29,,,2025-05-29
End funding for military interventions overseas and spend taxes in the UK ,https://petition.parliament.uk/petitions/700674,closed,104,700674,2024-12-20,,,2025-06-20
Develop an official written Constitution in the UK,https://petition.parliament.uk/petitions/700677,closed,100,700677,2024-12-05,,,2025-06-05
Urgently fulfil humanitarian obligations to Gaza,https://petition.parliament.uk/petitions/700682,closed,198966,700682,2025-01-28,2025-07-25,2025-11-24,2025-07-28
Introduce a referendum to decide: maintain or abolish the inheritance tax.,https://petition.parliament.uk/petitions/700686,closed,555,700686,2024-11-25,,,2025-05-25
Lower the voting age to 16 for general elections,https://petition.parliament.uk/petitions/700687,closed,565,700687,2024-11-19,,,2025-05-19
Require more qualifications for teachers/teaching assistants at SEN schools,https://petition.parliament.uk/petitions/700700,closed,126,700700,2024-11-21,,,2025-05-21
End the Safety Valve programme and provide funding to cover SEND deficits,https://petition.parliament.uk/petitions/700708,closed,1321,700708,2025-01-23,,,2025-07-23
"Fund the development of allergen free, vegan-friendly medications",https://petition.parliament.uk/petitions/700712,closed,522,700712,2024-11-19,,,2025-05-19
Fund month of celebrations of Britain's uniformed services,https://petition.parliament.uk/petitions/700714,closed,416,700714,2024-11-20,,,2025-05-20
Review the employer NI changes announced in the Budget,https://petition.parliament.uk/petitions/700716,closed,83,700716,2024-12-23,,,2025-06-23
"Review of the Royal Duchies, Crown estate and sovereign grant",https://petition.parliament.uk/petitions/700719,closed,285,700719,2024-11-29,,,2025-05-29
Have a General Election every year as requested in 1839 by the Chartist Movement,https://petition.parliament.uk/petitions/700731,closed,249,700731,2024-11-20,,,2025-05-20
Reinstate full HS2 route to Manchester & Leeds to combat regional inequality.,https://petition.parliament.uk/petitions/700734,closed,199,700734,2024-11-25,,,2025-05-25
Hold a referendum for London to become an independent country/city state,https://petition.parliament.uk/petitions/700737,closed,28,700737,2024-12-16,,,2025-06-16
Reintroduce UK National ID cards for British citizens.,https://petition.parliament.uk/petitions/700738,closed,273,700738,2024-11-28,,,2025-05-28
Stop local councils from selling social housing to private investors,https://petition.parliament.uk/petitions/700742,closed,496,700742,2024-11-29,,,2025-05-29
"Introduce stricter regulation of event ticket sales, resales and dynamic pricing",https://petition.parliament.uk/petitions/700756,closed,147,700756,2024-11-20,,,2025-05-20
Raise the maximum assisted speed to 20mph for E-bikes,https://petition.parliament.uk/petitions/700758,closed,73,700758,2024-11-26,,,2025-05-26
Remove Universal Credit ‘Take-home Pay’ deductions for lone parent households,https://petition.parliament.uk/petitions/700764,closed,134,700764,2024-11-26,,,2025-05-26
Introduce a compensation scheme for WASPI women,https://petition.parliament.uk/petitions/700765,closed,161788,700765,2024-11-21,2024-11-30,2025-03-17,2025-05-21
Fund routine breast screening invitations to women beyond the age of 71,https://petition.parliament.uk/petitions/700767,closed,173,700767,2024-11-20,,,2025-05-20
Make St. David's Day on March the 1st a Public Holiday,https://petition.parliament.uk/petitions/700770,closed,890,700770,2024-11-21,,,2025-05-21
Create path to Settlement for Ukrainians in the UK,https://petition.parliament.uk/petitions/700776,closed,35948,700776,2025-01-15,,,2025-07-15
Stop the Government from raising the tuition fee cap,https://petition.parliament.uk/petitions/700781,closed,300,700781,2024-11-21,,,2025-05-21
Give BN(O) visa holders access to funded childcare hours for working parents,https://petition.parliament.uk/petitions/700785,closed,24,700785,2024-11-25,,,2025-05-25
Increase maintenance loans for university students,https://petition.parliament.uk/petitions/700800,closed,76,700800,2024-12-11,,,2025-06-11
Change rules so that small cats and dogs are allowed in airplane cabins,https://petition.parliament.uk/petitions/700802,closed,580,700802,2024-11-20,,,2025-05-20
Drivers who hit cats in their car should stop and take the cat to a vet,https://petition.parliament.uk/petitions/700808,closed,1474,700808,2024-11-29,,,2025-05-29
Move Tax Bands in line with minimum wage increases,https://petition.parliament.uk/petitions/700810,closed,242,700810,2024-12-18,,,2025-06-18
Close the borders! Suspend ALL immigration for 5 years!,https://petition.parliament.uk/petitions/700824,closed,229773,700824,2024-11-26,2024-12-28,2025-03-10,2025-05-26
Ban higher car insurance premiums for over 70s based on age,https://petition.parliament.uk/petitions/700837,closed,2140,700837,2024-11-20,,,2025-05-20
Amend the law to allow universities to review the formation of student societies,https://petition.parliament.uk/petitions/700843,closed,21,700843,2024-12-12,,,2025-06-12
Create a national badge for parent and child spaces.,https://petition.parliament.uk/petitions/700850,closed,149,700850,2024-11-27,,,2025-05-27
Entitlement to bereavement leave after baby loss in first 24 weeks of pregnancy.,https://petition.parliament.uk/petitions/700852,closed,187,700852,2024-11-27,,,2025-05-27
Prohibit gambling on the timing and/or outcome of elections,https://petition.parliament.uk/petitions/700854,closed,103,700854,2024-11-21,,,2025-05-21
Hold a public inquiry into the work of the Family Courts,https://petition.parliament.uk/petitions/700857,closed,229,700857,2024-11-29,,,2025-05-29
Introduce 'Grow Your Own' Laws for Legal Medical Cannabis Patients (CBPM),https://petition.parliament.uk/petitions/700860,closed,13029,700860,2024-11-20,,,2025-05-20
"Legislate to ensure any gifts to MPs are taxed
 
",https://petition.parliament.uk/petitions/700865,closed,290,700865,2024-11-29,,,2025-05-29
Establishment of Minimum Standards for Student Housing,https://petition.parliament.uk/petitions/700869,closed,102,700869,2024-11-21,,,2025-05-21
Ban Food Allergy Waivers,https://petition.parliament.uk/petitions/700887,closed,75,700887,2024-11-21,,,2025-05-21
Review the role of Physicians Associates (PAs),https://petition.parliament.uk/petitions/700913,closed,185,700913,2024-12-03,,,2025-06-03
Immediately stop all arms exports to Israel & seek ceasefire in Gaza,https://petition.parliament.uk/petitions/700918,closed,67305,700918,2024-12-05,,,2025-06-05
Make motorway lessons a mandatory part of UK driving test & lessons,https://petition.parliament.uk/petitions/700930,closed,65,700930,2025-01-23,,,2025-07-23
Review Tax Credit Overpayment system,https://petition.parliament.uk/petitions/700931,closed,29,700931,2024-11-28,,,2025-05-28
Fund routine Prostate Cancer screening,https://petition.parliament.uk/petitions/700934,closed,437,700934,2024-11-28,,,2025-05-28
Make it Law for Registered Medical Staff in the NHS to Wear Body Cameras,https://petition.parliament.uk/petitions/700946,closed,86,700946,2024-11-21,,,2025-05-21
National measures to prevent people leaving dog faeces on the streets.,https://petition.parliament.uk/petitions/700979,closed,193,700979,2024-11-27,,,2025-05-27
Protect Cats: Make Reporting Cat Accidents a Legal Requirement,https://petition.parliament.uk/petitions/700990,closed,2548,700990,2024-12-09,,,2025-06-09
Offer healthcare workers on tier2 visa ILR after 2 years instead of 5 years,https://petition.parliament.uk/petitions/700991,closed,4475,700991,2024-11-21,,,2025-05-21
Create dedicated section for UK passport holders at arrival in UK airports,https://petition.parliament.uk/petitions/700993,closed,142,700993,2024-11-25,,,2025-05-25
Increase statutory maternity pay.,https://petition.parliament.uk/petitions/701004,closed,361,701004,2024-11-27,,,2025-05-27
Provide Funding for Neurodiversity Diagnostic Assessments in State Schools,https://petition.parliament.uk/petitions/701005,closed,85,701005,2024-11-27,,,2025-05-27
