Petition,URL,State,Signatures Count,petition_id,opened_date,debate_threshold_reached,scheduled_debate_date,closed_date
Require all social media companies to allow infinite scrolling to be turned off,https://petition.parliament.uk/petitions/714658,closed,30,714658,2025-03-13,,,2025-09-13
Regulate & License the Non-Surgical Cosmetic Sector,https://petition.parliament.uk/petitions/714660,closed,99,714660,2025-03-12,,,2025-09-12
Raise the age of digital consent from 13 to 16,https://petition.parliament.uk/petitions/714661,closed,49,714661,2025-04-07,,,2025-10-07
Legal requirement to test and record blood group at birth for medical records,https://petition.parliament.uk/petitions/714669,closed,42,714669,2025-03-13,,,2025-09-13
Review and reform Cafcass to address systemic failings and protect families,https://petition.parliament.uk/petitions/714670,closed,245,714670,2025-03-14,,,2025-09-14
Remove people on the terror watch list from the UK,https://petition.parliament.uk/petitions/714695,closed,4758,714695,2025-05-30,,,2025-11-30
Amend Article 6 of the Human Rights Act to ensure a fair trial for Victims,https://petition.parliament.uk/petitions/714698,closed,74,714698,2025-03-31,,,2025-09-30
Remove Permitted Development rights for HMO property up to 6 unrelated persons.,https://petition.parliament.uk/petitions/714723,closed,81,714723,2025-03-17,,,2025-09-17
Require recycling facilities for blister packs in all dispensaries and chemists,https://petition.parliament.uk/petitions/714733,closed,466,714733,2025-03-17,,,2025-09-17
Give the Chagos Islands to the USA,https://petition.parliament.uk/petitions/714760,closed,37,714760,2025-03-19,,,2025-09-19
Do not introduce digital driving licences,https://petition.parliament.uk/petitions/714765,closed,862,714765,2025-03-13,,,2025-09-13
End the UK’s membership of the World Health Organisation,https://petition.parliament.uk/petitions/714790,closed,265,714790,2025-03-12,,,2025-09-12
Extend the closing date of the Plug-in Van and Truck Grant beyond 31 March 2025,https://petition.parliament.uk/petitions/714795,closed,15,714795,2025-03-13,,,2025-09-13
Add the subject of post-partum mental illness to the national curriculum,https://petition.parliament.uk/petitions/714804,closed,75,714804,2025-03-20,,,2025-09-20
"Ban the Nazi salute, like in Germany, and Austria",https://petition.parliament.uk/petitions/714817,closed,734,714817,2025-03-12,,,2025-09-12
