"Petition","URL","State","Signatures Count"
"Allow Skilled workers to work unlimited extra hours with other employers","https://petition.parliament.uk/petitions/728846","open",155
"Abolish Penalty Points for Minor Speeding Offences","https://petition.parliament.uk/petitions/728856","open",53
"Introduce national service for all young people","https://petition.parliament.uk/petitions/728868","open",86
"No More Patchwork Paving: Change the resurfacing rules for utility companies.","https://petition.parliament.uk/petitions/728889","open",361
"Change foreign policy so the UK is neutral and not aligned with the 'West'.","https://petition.parliament.uk/petitions/728896","open",124
"Ban ""small-scale fracking"" for onshore oil and gas","https://petition.parliament.uk/petitions/728912","open",10532
"Increase regulation of parking signage","https://petition.parliament.uk/petitions/728920","open",15622
"Remove custody sentence for some offences from Standard & Enhanced DBS check","https://petition.parliament.uk/petitions/728931","open",17
"Scrap sponsorship requirements for overseas healthcare workers to switch jobs","https://petition.parliament.uk/petitions/728943","open",25
" Require unused website URLs to be made available after 12 months","https://petition.parliament.uk/petitions/728945","open",27
"Require companies to offer equal adoption and parental leave policies ","https://petition.parliament.uk/petitions/728950","open",40
"Ban surname changes for women after marriage","https://petition.parliament.uk/petitions/728965","open",18
"Create a Simpler Way to Upgrade from Automatic to Manual Driving Licence","https://petition.parliament.uk/petitions/728974","open",36
"Exempt medically discharged Commonwealth service people from immigration control","https://petition.parliament.uk/petitions/728988","open",188
"Reverse the ban on XL Bully dogs","https://petition.parliament.uk/petitions/729003","open",2975
"Leave the European Convention on Human Rights (ECHR)","https://petition.parliament.uk/petitions/729027","open",22674
"Review Home Office Delays in processing immigration cases","https://petition.parliament.uk/petitions/729032","open",29
"Require car and phone makers to publish annual report of safety & repair issues","https://petition.parliament.uk/petitions/729052","open",26
"Require nurseries and early years providers to make social media pages private","https://petition.parliament.uk/petitions/729070","open",34
"Make Stamp Duty payment flexible","https://petition.parliament.uk/petitions/729071","open",2979
"Provide more funding for further biomedical research and education on CFS/ME","https://petition.parliament.uk/petitions/729073","open",1616
"Pause immigration until Home Office processes all pending asylum applications","https://petition.parliament.uk/petitions/729093","open",611
"Ban the sale of catapults and carrying catapults in public","https://petition.parliament.uk/petitions/729101","open",1276
"Ban industries serving food to the public from wearing latex gloves","https://petition.parliament.uk/petitions/729104","open",46
"Require care settings to carry out basic nail care","https://petition.parliament.uk/petitions/729118","open",26
"Introduce a free UK visa or other evacuation route for refugees from Gaza","https://petition.parliament.uk/petitions/729128","open",204
"Make using AI and generative language models in factual media a criminal offence","https://petition.parliament.uk/petitions/729133","open",84
"Fund mental health support for people who administered first aid","https://petition.parliament.uk/petitions/729144","open",110
"Review punishments for young offenders","https://petition.parliament.uk/petitions/729146","open",39
"Amend Section 27 of the Road Traffic Act 1988 to include all public highways","https://petition.parliament.uk/petitions/729152","open",868
"Recall of MPs Act to cover MPs excluded from parliamentary estate for 60 Days+","https://petition.parliament.uk/petitions/729157","open",39
